128, 6
128, 44
128, 24
128, 60
128, 16
128, 134
128, 127
128, 106
160, 8
160, 11
160, 2
160, 12
160, 52
160, 38
160, 6
160, 59
240, 1
240, 29
240, 16
240, 10
240, 8
240, 14
240, 23
240, 1
320, 18
320, 3
320, 5
320, 2
320, 2
320, 2
320, 5
320, 4
480, 1
480, 1
480, 1
480, 1
480, 2
480, 2
480, 1
480, 2
800, 1
800, 1
800, 1
800, 1
800, 1
800, 1
800, 1
128, 4
800, 1
128, 6
128, 10
128, 34
128, 46
128, 59
128, 95
160, 33
128, 7
160, 33
160, 26
160, 85
160, 50
160, 20
160, 6
240, 2
160, 38
240, 5
240, 7
240, 2
240, 10
240, 2
240, 18
240, 13
320, 5
320, 2
320, 1
320, 1
320, 8
320, 2
320, 3
320, 3
480, 4
480, 2
480, 1
480, 2
480, 1
480, 1
480, 1
480, 3
800, 1
800, 1
800, 1
800, 1
800, 1
800, 1
800, 1
128, 90
800, 3
128, 15
128, 78
128, 19
128, 46
128, 44
160, 37
160, 2
128, 245
160, 17
160, 8
160, 21
160, 38
128, 142
240, 2
160, 58
240, 13
240, 24
240, 3
160, 4
240, 5
240, 20
320, 9
240, 4
240, 16
320, 4
320, 12
320, 2
320, 3
320, 1
320, 4
320, 4
480, 1
480, 1
480, 1
480, 2
480, 1
480, 1
480, 1
480, 1
800, 1
800, 1
800, 1
800, 1
800, 1
800, 1
128, 68
128, 8
128, 46
800, 1
128, 78
128, 100
800, 1
160, 58
128, 129
160, 22
160, 12
160, 17
160, 16
128, 107
128, 78
160, 81
240, 12
240, 15
160, 2
240, 14
240, 2
160, 11
240, 26
240, 9
240, 1
320, 2
320, 5
320, 2
240, 18
320, 2
320, 7
320, 4
320, 20
320, 1
480, 1
480, 2
480, 7
480, 3
480, 1
480, 2
480, 2
480, 2
800, 1
800, 1
800, 1
800, 3
800, 1
128, 71
128, 1
800, 1
128, 6
128, 112
128, 50
800, 1
800, 2
160, 26
160, 12
128, 46
160, 25
160, 25
160, 14
128, 72
160, 3
240, 1
128, 130
240, 8
160, 17
240, 25
240, 7
240, 7
240, 1
160, 68
320, 9
320, 14
240, 11
320, 3
320, 2
320, 8
320, 1
240, 26
320, 1
480, 2
480, 2
480, 1
480, 4
320, 2
480, 1
480, 1
480, 4
480, 3
800, 1
800, 1
800, 1
800, 1
128, 26
800, 1
128, 3
128, 5
800, 2
128, 89
800, 1
160, 16
160, 10
128, 17
160, 30
160, 16
128, 10
128, 221
800, 2
240, 13
160, 43
240, 6
240, 2
160, 9
240, 21
160, 68
128, 80
240, 17
320, 2
320, 2
240, 27
320, 3
160, 7
240, 5
320, 1
320, 2
240, 10
320, 6
320, 1
480, 1
480, 3
480, 1
480, 1
320, 7
480, 2
480, 2
480, 1
480, 1
800, 1
800, 1
800, 1
128, 5
128, 22
800, 1
128, 29
800, 1
160, 14
128, 17
800, 1
160, 2
800, 1
160, 18
160, 11
128, 11
240, 4
128, 67
240, 4
800, 1
240, 8
128, 294
160, 55
240, 7
160, 46
128, 56
160, 11
320, 1
320, 1
320, 1
240, 20
240, 5
320, 1
160, 103
240, 4
240, 1
480, 1
320, 2
480, 3
320, 19
480, 1
320, 4
480, 3
320, 6
480, 2
480, 1
480, 2
800, 2
800, 1
480, 2
800, 1
800, 1
128, 24
128, 141
128, 195
128, 27
800, 1
